review_id,rating,title,content,review_date,is_deleted,deleted_date,ticket_id
1,2,Disappointing,The visit was fun and memorable.,2024-11-17,false,,9574
2,3,Disappointing,Everything was well organized and enjoyable.,2024-08-13,false,,2682
3,5,Could be better,It was too crowded and not as expected.,2024-11-24,true,2025-03-03,19102
4,2,Highly recommended,I expected more from the experience.,2024-02-13,true,2025-03-15,16299
5,3,Disappointing,Everything was well organized and enjoyable.,2024-02-23,false,,1789
6,1,Amazing,I would recommend this place to others.,2024-06-10,true,2025-03-08,11840
7,2,Could be better,A nice attraction for families and children.,2024-01-21,false,,18920
8,3,Could be better,Everything was well organized and enjoyable.,2025-01-06,true,2025-03-20,3788
9,3,Great for families,The visit was fun and memorable.,2024-08-24,false,,654
10,3,Great for families,I had a good experience overall.,2024-06-10,true,2025-03-10,10288
11,3,Worth it,The place was clean and the staff were helpful.,2025-01-04,true,2025-03-03,6237
12,1,Nice place,"Some parts were good, but there is room for improvement.",2024-07-07,false,,9037
13,5,Not bad,I expected more from the experience.,2024-01-14,true,2025-03-19,14607
14,5,Worth it,"Some parts were good, but there is room for improvement.",2024-06-13,false,,17768
15,4,Disappointing,A nice attraction for families and children.,2024-07-20,true,2025-03-23,6443
16,2,Worth it,The attraction was interesting and worth the price.,2024-08-04,true,2025-03-16,10282
17,5,Fun day,It was too crowded and not as expected.,2024-03-17,true,2025-03-17,12758
18,1,Worth it,A nice attraction for families and children.,2025-01-25,true,2025-03-28,16708
19,3,Highly recommended,The visit was fun and memorable.,2024-08-17,true,2025-03-16,17289
20,5,Very good,The place was clean and the staff were helpful.,2024-10-13,false,,13742
21,4,Not bad,A nice attraction for families and children.,2024-02-23,false,,16150
22,2,Very good,I would recommend this place to others.,2024-04-01,false,,19730
23,1,Highly recommended,Everything was well organized and enjoyable.,2024-05-27,true,2025-03-08,18702
24,4,Very good,Everything was well organized and enjoyable.,2024-01-24,false,,5039
25,2,Could be better,I would recommend this place to others.,2025-01-26,true,2025-03-06,5849
26,5,Disappointing,The place was clean and the staff were helpful.,2024-01-21,false,,17985
27,2,Worth it,"Some parts were good, but there is room for improvement.",2025-03-01,true,2025-03-02,5695
28,5,Great for families,It was too crowded and not as expected.,2024-10-14,true,2025-03-21,5224
29,1,Fun day,I expected more from the experience.,2024-01-22,false,,4547
30,5,Not bad,The place was clean and the staff were helpful.,2024-12-06,false,,7102
31,3,Very good,I would recommend this place to others.,2025-02-11,true,2025-03-29,3196
32,2,Nice place,The visit was fun and memorable.,2024-11-22,true,2025-03-03,19256
33,2,Could be better,The visit was fun and memorable.,2024-08-01,true,2025-03-09,6914
34,1,Amazing,The visit was fun and memorable.,2024-04-03,false,,12098
35,5,Not bad,The place was clean and the staff were helpful.,2024-02-06,true,2025-03-21,1427
36,3,Nice place,The attraction was interesting and worth the price.,2024-01-28,true,2025-03-25,671
37,1,Worth it,A nice attraction for families and children.,2024-05-09,true,2025-03-10,10035
38,2,Worth it,Everything was well organized and enjoyable.,2024-12-28,true,2025-03-11,16276
39,3,Amazing,The visit was fun and memorable.,2024-07-02,false,,11861
40,4,Could be better,A nice attraction for families and children.,2024-10-12,false,,10367
41,4,Highly recommended,Everything was well organized and enjoyable.,2024-07-24,true,2025-03-11,15562
42,2,Very good,It was too crowded and not as expected.,2025-01-22,true,2025-03-24,8933
43,4,Nice place,I expected more from the experience.,2024-11-09,true,2025-03-05,16869
44,5,Not bad,The visit was fun and memorable.,2024-05-20,false,,16020
45,1,Could be better,I expected more from the experience.,2024-04-22,false,,147
46,2,Disappointing,I had a good experience overall.,2024-01-26,true,2025-04-01,7661
47,5,Disappointing,The place was clean and the staff were helpful.,2024-04-16,true,2025-03-06,19442
48,2,Amazing,The attraction was interesting and worth the price.,2024-01-11,true,2025-03-02,287
49,4,Not bad,I would recommend this place to others.,2024-05-30,false,,10437
50,5,Very good,The attraction was interesting and worth the price.,2024-01-12,true,2025-03-25,8660
51,1,Fun day,Everything was well organized and enjoyable.,2024-02-06,false,,15293
52,1,Worth it,I would recommend this place to others.,2025-01-03,true,2025-03-09,9667
53,4,Nice place,I would recommend this place to others.,2024-07-26,false,,16823
54,5,Fun day,I expected more from the experience.,2024-10-27,true,2025-03-28,17004
55,3,Not bad,A nice attraction for families and children.,2024-06-26,true,2025-03-18,3045
56,3,Amazing,It was too crowded and not as expected.,2024-08-09,false,,14090
57,1,Great for families,It was too crowded and not as expected.,2024-03-25,true,2025-03-21,699
58,1,Nice place,The attraction was interesting and worth the price.,2024-12-11,false,,2118
59,5,Worth it,A nice attraction for families and children.,2024-01-31,true,2025-03-31,8670
60,2,Could be better,I expected more from the experience.,2024-06-11,false,,18337
61,2,Not bad,A nice attraction for families and children.,2024-08-06,true,2025-03-13,7001
62,4,Not bad,I had a good experience overall.,2024-06-05,true,2025-03-03,11395
63,4,Great for families,The place was clean and the staff were helpful.,2024-10-15,true,2025-03-13,468
64,3,Very good,The visit was fun and memorable.,2024-07-07,true,2025-03-07,9286
65,5,Great for families,The visit was fun and memorable.,2024-08-20,false,,17058
66,3,Amazing,The place was clean and the staff were helpful.,2024-12-23,true,2025-03-19,5362
67,5,Great for families,I had a good experience overall.,2024-09-25,true,2025-03-08,3211
68,2,Could be better,The attraction was interesting and worth the price.,2024-07-29,true,2025-03-30,509
69,3,Could be better,The place was clean and the staff were helpful.,2024-07-23,true,2025-03-26,17170
70,5,Could be better,I had a good experience overall.,2024-12-10,true,2025-03-22,6935
71,2,Very good,The attraction was interesting and worth the price.,2025-02-17,false,,13328
72,2,Amazing,The place was clean and the staff were helpful.,2024-10-17,true,2025-03-17,9987
73,1,Great for families,A nice attraction for families and children.,2024-02-18,true,2025-03-05,19489
74,4,Fun day,I would recommend this place to others.,2024-12-07,true,2025-03-12,17970
75,4,Could be better,I would recommend this place to others.,2024-09-15,false,,1943
76,4,Very good,I expected more from the experience.,2024-11-12,false,,10119
77,1,Very good,"Some parts were good, but there is room for improvement.",2024-05-18,true,2025-03-07,6878
78,1,Very good,"Some parts were good, but there is room for improvement.",2024-05-20,true,2025-03-23,13062
79,1,Not bad,I would recommend this place to others.,2024-04-20,true,2025-03-30,6840
80,2,Disappointing,The place was clean and the staff were helpful.,2025-01-29,true,2025-03-17,16231
81,5,Great for families,I would recommend this place to others.,2024-05-14,false,,16484
82,4,Could be better,A nice attraction for families and children.,2024-07-09,true,2025-03-19,17255
83,1,Nice place,A nice attraction for families and children.,2024-04-12,false,,2067
84,3,Great for families,The place was clean and the staff were helpful.,2025-01-09,false,,13694
85,5,Great for families,The attraction was interesting and worth the price.,2025-01-24,false,,787
86,3,Amazing,Everything was well organized and enjoyable.,2024-08-09,false,,3773
87,1,Not bad,It was too crowded and not as expected.,2024-10-28,false,,15986
88,3,Fun day,I had a good experience overall.,2024-10-17,true,2025-03-22,12970
89,4,Not bad,The place was clean and the staff were helpful.,2024-02-26,true,2025-03-29,11081
90,4,Very good,The visit was fun and memorable.,2024-08-24,false,,15142
91,2,Highly recommended,The visit was fun and memorable.,2025-02-14,false,,3540
92,5,Not bad,Everything was well organized and enjoyable.,2024-07-14,true,2025-03-10,3315
93,5,Could be better,The visit was fun and memorable.,2025-02-14,false,,4598
94,2,Could be better,It was too crowded and not as expected.,2024-08-13,false,,9492
95,1,Could be better,I would recommend this place to others.,2024-01-17,false,,5620
96,1,Amazing,I had a good experience overall.,2024-10-20,false,,12332
97,3,Nice place,I expected more from the experience.,2025-02-10,false,,755
98,5,Amazing,A nice attraction for families and children.,2024-07-22,false,,13492
99,3,Not bad,Everything was well organized and enjoyable.,2024-11-19,true,2025-03-15,8444
100,5,Fun day,I would recommend this place to others.,2025-01-08,false,,14083
101,1,Highly recommended,The attraction was interesting and worth the price.,2024-08-21,false,,12642
102,1,Amazing,The place was clean and the staff were helpful.,2024-07-27,true,2025-03-17,5706
103,3,Not bad,The place was clean and the staff were helpful.,2024-01-12,true,2025-03-06,18227
104,5,Worth it,I had a good experience overall.,2024-01-19,true,2025-03-02,11956
105,2,Disappointing,The visit was fun and memorable.,2024-04-19,true,2025-03-11,9383
106,2,Worth it,The place was clean and the staff were helpful.,2024-01-07,false,,13317
107,4,Highly recommended,I would recommend this place to others.,2024-12-06,true,2025-03-09,10934
108,5,Great for families,The attraction was interesting and worth the price.,2024-08-24,false,,2074
109,4,Worth it,The visit was fun and memorable.,2024-12-28,false,,14721
110,5,Could be better,The visit was fun and memorable.,2025-02-10,false,,5363
111,1,Worth it,It was too crowded and not as expected.,2024-06-12,true,2025-03-26,6668
112,5,Amazing,I would recommend this place to others.,2024-08-26,false,,5080
113,2,Highly recommended,The visit was fun and memorable.,2024-08-26,true,2025-03-30,17653
114,4,Fun day,I had a good experience overall.,2024-10-24,false,,16884
115,3,Disappointing,I would recommend this place to others.,2024-03-18,false,,6195
116,4,Worth it,"Some parts were good, but there is room for improvement.",2024-06-04,false,,8041
117,1,Highly recommended,The visit was fun and memorable.,2024-11-20,false,,6881
118,5,Highly recommended,I expected more from the experience.,2024-04-02,false,,7087
119,2,Could be better,Everything was well organized and enjoyable.,2024-12-07,true,2025-03-04,8044
120,4,Not bad,The attraction was interesting and worth the price.,2024-01-24,false,,15106
121,1,Disappointing,The place was clean and the staff were helpful.,2024-06-24,true,2025-03-31,7937
122,3,Great for families,Everything was well organized and enjoyable.,2025-02-02,true,2025-03-14,1671
123,1,Fun day,It was too crowded and not as expected.,2024-09-19,true,2025-03-18,6255
124,3,Amazing,A nice attraction for families and children.,2024-12-28,true,2025-03-03,16150
125,1,Disappointing,The place was clean and the staff were helpful.,2025-01-13,false,,5049
126,2,Worth it,I would recommend this place to others.,2024-07-27,true,2025-03-13,6489
127,3,Fun day,The visit was fun and memorable.,2024-04-26,true,2025-03-29,14691
128,3,Worth it,I had a good experience overall.,2024-05-30,false,,11541
129,2,Not bad,The attraction was interesting and worth the price.,2024-05-17,false,,14800
130,2,Great for families,It was too crowded and not as expected.,2024-01-16,true,2025-03-10,9176
131,1,Not bad,I would recommend this place to others.,2024-04-16,false,,12117
132,4,Worth it,The attraction was interesting and worth the price.,2024-10-22,true,2025-03-10,17164
133,1,Not bad,I would recommend this place to others.,2024-12-18,false,,11477
134,5,Highly recommended,A nice attraction for families and children.,2024-05-04,true,2025-03-23,6935
135,3,Worth it,The place was clean and the staff were helpful.,2024-08-05,true,2025-03-14,19987
136,1,Great for families,"Some parts were good, but there is room for improvement.",2024-03-28,true,2025-03-25,14173
137,2,Very good,"Some parts were good, but there is room for improvement.",2024-11-27,false,,5577
138,4,Worth it,The visit was fun and memorable.,2024-12-13,false,,14646
139,3,Fun day,The visit was fun and memorable.,2024-04-17,false,,18347
140,5,Amazing,I expected more from the experience.,2024-01-04,false,,14059
141,4,Nice place,"Some parts were good, but there is room for improvement.",2024-01-20,true,2025-03-12,10705
142,3,Disappointing,The place was clean and the staff were helpful.,2024-09-14,true,2025-03-30,10656
143,3,Not bad,I would recommend this place to others.,2024-06-13,false,,3934
144,1,Disappointing,The visit was fun and memorable.,2024-06-29,true,2025-03-04,13649
145,4,Not bad,I expected more from the experience.,2024-11-18,false,,4528
146,3,Great for families,I would recommend this place to others.,2024-07-16,true,2025-03-12,19953
147,1,Nice place,I would recommend this place to others.,2024-04-17,true,2025-03-28,8065
148,3,Nice place,It was too crowded and not as expected.,2025-02-06,true,2025-03-25,293
149,1,Disappointing,"Some parts were good, but there is room for improvement.",2024-06-21,true,2025-03-31,11602
150,3,Not bad,The place was clean and the staff were helpful.,2025-02-22,true,2025-03-08,18679
151,3,Fun day,A nice attraction for families and children.,2024-07-12,false,,16942
152,3,Worth it,A nice attraction for families and children.,2024-08-02,true,2025-03-28,12947
153,2,Very good,A nice attraction for families and children.,2024-05-17,true,2025-03-25,6540
154,1,Not bad,A nice attraction for families and children.,2024-08-10,false,,2455
155,2,Highly recommended,I would recommend this place to others.,2024-05-20,true,2025-03-15,10893
156,2,Worth it,Everything was well organized and enjoyable.,2024-02-22,false,,19752
157,5,Not bad,Everything was well organized and enjoyable.,2025-02-11,false,,11136
158,3,Amazing,Everything was well organized and enjoyable.,2024-04-18,false,,19438
159,4,Could be better,I expected more from the experience.,2024-07-29,false,,520
160,1,Could be better,The visit was fun and memorable.,2024-02-24,false,,14965
161,2,Not bad,I would recommend this place to others.,2025-02-19,false,,10816
162,4,Could be better,"Some parts were good, but there is room for improvement.",2024-07-01,true,2025-03-22,544
163,4,Worth it,Everything was well organized and enjoyable.,2025-02-26,false,,17749
164,3,Disappointing,The visit was fun and memorable.,2024-02-17,true,2025-03-07,6484
165,2,Nice place,I would recommend this place to others.,2024-09-06,true,2025-03-25,18701
166,2,Very good,The visit was fun and memorable.,2024-06-20,false,,14615
167,1,Could be better,I expected more from the experience.,2024-12-29,true,2025-03-09,18039
168,3,Highly recommended,The visit was fun and memorable.,2024-11-18,false,,18658
169,3,Very good,It was too crowded and not as expected.,2024-09-16,false,,18156
170,5,Fun day,The visit was fun and memorable.,2024-09-26,true,2025-03-19,12618
171,3,Disappointing,I would recommend this place to others.,2024-10-10,true,2025-03-25,4179
172,2,Highly recommended,I had a good experience overall.,2024-03-19,true,2025-03-19,16640
173,4,Highly recommended,"Some parts were good, but there is room for improvement.",2024-07-12,false,,14174
174,1,Highly recommended,I expected more from the experience.,2024-04-20,false,,8805
175,3,Fun day,I would recommend this place to others.,2024-08-26,true,2025-03-05,12492
176,5,Great for families,Everything was well organized and enjoyable.,2024-02-11,false,,15265
177,3,Very good,The visit was fun and memorable.,2024-12-30,false,,4649
178,3,Amazing,I expected more from the experience.,2025-02-02,true,2025-03-08,7230
179,4,Amazing,"Some parts were good, but there is room for improvement.",2024-09-26,false,,15496
180,5,Disappointing,A nice attraction for families and children.,2024-06-07,false,,2808
181,3,Worth it,I would recommend this place to others.,2025-02-19,true,2025-03-09,5493
182,1,Amazing,"Some parts were good, but there is room for improvement.",2024-12-17,false,,19547
183,2,Great for families,Everything was well organized and enjoyable.,2024-02-14,true,2025-03-21,4981
184,1,Fun day,"Some parts were good, but there is room for improvement.",2024-06-11,false,,5900
185,4,Could be better,A nice attraction for families and children.,2024-09-29,false,,18825
186,3,Very good,The attraction was interesting and worth the price.,2024-06-26,true,2025-03-20,15789
187,3,Amazing,I had a good experience overall.,2024-05-05,false,,2601
188,1,Nice place,Everything was well organized and enjoyable.,2025-02-15,false,,13596
189,2,Nice place,It was too crowded and not as expected.,2024-05-17,true,2025-03-18,10020
190,3,Very good,The visit was fun and memorable.,2024-04-09,false,,5334
191,4,Fun day,A nice attraction for families and children.,2024-04-17,true,2025-03-19,3107
192,3,Could be better,I expected more from the experience.,2024-02-28,false,,11538
193,1,Not bad,I expected more from the experience.,2025-02-06,true,2025-03-16,8195
194,4,Worth it,A nice attraction for families and children.,2025-02-13,false,,11831
195,4,Nice place,A nice attraction for families and children.,2024-02-15,false,,16487
196,2,Worth it,I expected more from the experience.,2025-02-02,false,,7131
197,3,Could be better,I would recommend this place to others.,2024-12-21,true,2025-03-03,17892
198,5,Great for families,The visit was fun and memorable.,2025-02-24,true,2025-03-25,16931
199,5,Disappointing,The attraction was interesting and worth the price.,2024-03-13,true,2025-03-08,7192
200,4,Amazing,Everything was well organized and enjoyable.,2024-11-02,false,,17254
201,1,Fun day,I expected more from the experience.,2025-01-04,false,,1083
202,5,Amazing,It was too crowded and not as expected.,2024-10-20,false,,6828
203,4,Not bad,The place was clean and the staff were helpful.,2025-01-12,true,2025-03-25,5845
204,1,Fun day,The attraction was interesting and worth the price.,2024-11-26,false,,13925
205,4,Very good,It was too crowded and not as expected.,2024-12-09,true,2025-03-15,18893
206,3,Amazing,I expected more from the experience.,2024-10-10,true,2025-03-19,10679
207,3,Amazing,The place was clean and the staff were helpful.,2024-03-19,false,,4840
208,1,Highly recommended,A nice attraction for families and children.,2024-09-03,true,2025-03-08,4890
209,5,Worth it,The attraction was interesting and worth the price.,2024-03-08,true,2025-03-13,1674
210,4,Amazing,I had a good experience overall.,2024-06-14,false,,8514
211,3,Nice place,Everything was well organized and enjoyable.,2025-01-05,false,,19104
212,1,Worth it,The visit was fun and memorable.,2024-05-31,true,2025-03-18,9690
213,1,Amazing,I would recommend this place to others.,2024-11-29,true,2025-03-13,16972
214,4,Worth it,The visit was fun and memorable.,2024-02-17,false,,501
215,5,Not bad,The visit was fun and memorable.,2024-03-11,false,,8361
216,2,Fun day,I had a good experience overall.,2024-01-12,true,2025-03-16,1746
217,4,Could be better,"Some parts were good, but there is room for improvement.",2024-04-03,true,2025-03-13,10270
