attraction_id,attraction_name,city,category,description
501,National Reserve,Eilat,Tour,A vibrant hub of cultural activities
502,City Museum,Ashdod,Historical Site,A hidden gem for nature lovers
503,Botanical Garden,Tiberias,Beach,A fun and educational destination for all
504,National Reserve,Tel Aviv,Beach,A perfect blend of history and modernity
505,Zoo Complex,Netanya,Park,A paradise for photographers and artists
506,Botanical Garden,Netanya,Beach,A vibrant hub of cultural activities
507,City Museum,Herzliya,Museum,A fun and educational destination for all
508,Art Center,Haifa,Nature Reserve,A paradise for photographers and artists
509,Zoo Complex,Tel Aviv,Botanical Garden,A perfect blend of history and modernity
510,Botanical Garden,Nazareth,Museum,A fun and educational destination for all
511,Science Center,Haifa,Historical Site,A hub of entertainment and leisure
512,Jeep Desert Tour,Beer Sheva,Botanical Garden,A fun and educational destination for all
513,National Reserve,Herzliya,Historical Site,A hidden gem for nature lovers
514,City Museum,Haifa,Amusement Park,A hidden gem for nature lovers
515,Science Center,Netanya,Historical Site,A hub of entertainment and leisure
516,National Reserve,Herzliya,Park,A place where memories are made
517,City Museum,Nazareth,Historical Site,A fun and educational destination for all
518,Art Center,Eilat,Gallery,A place where memories are made
519,Beach Promenade,Nazareth,Museum,An iconic landmark with breathtaking views
520,Beach Promenade,Netanya,Park,A peaceful retreat in the heart of the city
521,Art Center,Jerusalem,Gallery,A perfect blend of history and modernity
522,Art Center,Eilat,Historical Site,A place where memories are made
523,Botanical Garden,Tel Aviv,Amusement Park,A hub of entertainment and leisure
524,Coral Reef Park,Ashdod,Museum,A place where memories are made
525,Coral Reef Park,Nazareth,Beach,A vibrant hub of cultural activities
526,Science Center,Tel Aviv,Zoo,A paradise for photographers and artists
527,Beach Promenade,Ashdod,Zoo,A must-see spot for families with kids
528,City Museum,Haifa,Gallery,A fun and educational destination for all
529,Coral Reef Park,Nazareth,Nature Reserve,A hidden gem for nature lovers
530,City Museum,Beer Sheva,Tour,A hub of entertainment and leisure
531,Jeep Desert Tour,Tiberias,Gallery,A vibrant hub of cultural activities
532,Old City Walk,Herzliya,Historical Site,A peaceful retreat in the heart of the city
533,Zoo Complex,Eilat,Zoo,A peaceful retreat in the heart of the city
534,Botanical Garden,Jerusalem,Amusement Park,A place where memories are made
535,Coral Reef Park,Haifa,Gallery,A perfect blend of history and modernity
536,Art Center,Tiberias,Beach,A perfect blend of history and modernity
537,Botanical Garden,Netanya,Gallery,A must-see spot for families with kids
538,Botanical Garden,Ashdod,Zoo,A must-see spot for families with kids
539,Art Center,Ashdod,Gallery,A vibrant hub of cultural activities
540,Botanical Garden,Eilat,Amusement Park,A hub of entertainment and leisure
541,Botanical Garden,Eilat,Historical Site,A must-see spot for families with kids
542,Old City Walk,Jerusalem,Tour,A place where memories are made
543,Beach Promenade,Nazareth,Beach,A vibrant hub of cultural activities
544,Old City Walk,Nazareth,Beach,A place where memories are made
545,Coral Reef Park,Haifa,Beach,A hub of entertainment and leisure
546,Coral Reef Park,Herzliya,Gallery,A paradise for photographers and artists
547,Art Center,Tiberias,Park,A fun and educational destination for all
548,Botanical Garden,Herzliya,Zoo,A hub of entertainment and leisure
549,Jeep Desert Tour,Ashdod,Gallery,An iconic landmark with breathtaking views
550,National Reserve,Jerusalem,Park,A peaceful retreat in the heart of the city
551,Zoo Complex,Tel Aviv,Nature Reserve,A fun and educational destination for all
552,National Reserve,Herzliya,Nature Reserve,An iconic landmark with breathtaking views
553,Coral Reef Park,Nazareth,Museum,A paradise for photographers and artists
554,Coral Reef Park,Nazareth,Zoo,A hub of entertainment and leisure
555,Beach Promenade,Jerusalem,Beach,A fun and educational destination for all
556,Botanical Garden,Tel Aviv,Historical Site,An iconic landmark with breathtaking views
557,Science Center,Tel Aviv,Botanical Garden,A vibrant hub of cultural activities
558,Old City Walk,Tel Aviv,Museum,A place where memories are made
559,Beach Promenade,Ashdod,Historical Site,A must-see spot for families with kids
560,Old City Walk,Eilat,Botanical Garden,A fun and educational destination for all
561,Jeep Desert Tour,Beer Sheva,Beach,A perfect blend of history and modernity
562,Botanical Garden,Netanya,Historical Site,A vibrant hub of cultural activities
563,Jeep Desert Tour,Haifa,Historical Site,A hub of entertainment and leisure
564,Science Center,Tel Aviv,Gallery,A fun and educational destination for all
565,Old City Walk,Nazareth,Beach,A paradise for photographers and artists
566,Old City Walk,Tiberias,Museum,A fun and educational destination for all
567,National Reserve,Ashdod,Historical Site,An iconic landmark with breathtaking views
568,Zoo Complex,Tiberias,Tour,A hidden gem for nature lovers
569,Science Center,Nazareth,Tour,An iconic landmark with breathtaking views
570,Science Center,Haifa,Amusement Park,A hidden gem for nature lovers
571,Beach Promenade,Ashdod,Park,A peaceful retreat in the heart of the city
572,Science Center,Beer Sheva,Museum,A peaceful retreat in the heart of the city
573,Zoo Complex,Tiberias,Tour,An iconic landmark with breathtaking views
574,Coral Reef Park,Tiberias,Zoo,A hub of entertainment and leisure
575,Science Center,Herzliya,Beach,A hub of entertainment and leisure
576,Beach Promenade,Beer Sheva,Historical Site,A paradise for photographers and artists
577,Jeep Desert Tour,Jerusalem,Historical Site,A must-see spot for families with kids
578,Art Center,Jerusalem,Nature Reserve,An iconic landmark with breathtaking views
579,Zoo Complex,Beer Sheva,Beach,An iconic landmark with breathtaking views
580,National Reserve,Jerusalem,Park,A fun and educational destination for all
581,Botanical Garden,Tel Aviv,Beach,A perfect blend of history and modernity
582,Coral Reef Park,Tiberias,Beach,A peaceful retreat in the heart of the city
583,Botanical Garden,Tiberias,Amusement Park,A paradise for photographers and artists
584,Jeep Desert Tour,Eilat,Beach,A must-see spot for families with kids
585,Beach Promenade,Nazareth,Beach,A vibrant hub of cultural activities
586,Coral Reef Park,Netanya,Park,A peaceful retreat in the heart of the city
587,Coral Reef Park,Ashdod,Historical Site,A peaceful retreat in the heart of the city
588,Art Center,Beer Sheva,Park,A must-see spot for families with kids
589,Jeep Desert Tour,Tiberias,Park,A place where memories are made
590,Jeep Desert Tour,Haifa,Botanical Garden,A peaceful retreat in the heart of the city
591,Zoo Complex,Jerusalem,Park,A fun and educational destination for all
592,Beach Promenade,Beer Sheva,Museum,A paradise for photographers and artists
593,Coral Reef Park,Ashdod,Beach,A perfect blend of history and modernity
594,Old City Walk,Jerusalem,Amusement Park,A perfect blend of history and modernity
595,Old City Walk,Jerusalem,Park,A fun and educational destination for all
596,Science Center,Eilat,Gallery,A perfect blend of history and modernity
597,Botanical Garden,Tel Aviv,Botanical Garden,A hidden gem for nature lovers
598,Jeep Desert Tour,Nazareth,Amusement Park,A paradise for photographers and artists
599,Old City Walk,Haifa,Botanical Garden,A hidden gem for nature lovers
600,Old City Walk,Tiberias,Park,A hub of entertainment and leisure
