attraction_id,attraction_name,city,category,description
1,Attraction 1,Ashdod,Kids,Open all year round.
2,Attraction 2,Ashdod,Science,Suitable for children and families.
3,Attraction 3,Ramat Gan,Science,Suitable for children and families.
4,Attraction 4,Nazareth,History,Suitable for children and families.
5,Attraction 5,Eilat,Amusement Park,Suitable for children and families.
6,Attraction 6,Beer Sheva,Museum,Includes food stands and rest areas.
7,Attraction 7,Ashdod,Science,Includes food stands and rest areas.
8,Attraction 8,Nazareth,Zoo,Offers guided tours and events.
9,Attraction 9,Eilat,Amusement Park,Suitable for children and families.
10,Attraction 10,Netanya,Water Park,Offers guided tours and events.
11,Attraction 11,Netanya,Water Park,Includes food stands and rest areas.
12,Attraction 12,Eilat,Museum,Open all year round.
13,Attraction 13,Ashdod,Family,Includes food stands and rest areas.
14,Attraction 14,Tel Aviv,Water Park,Suitable for children and families.
15,Attraction 15,Holon,Kids,Suitable for children and families.
16,Attraction 16,Beer Sheva,Adventure,Open all year round.
17,Attraction 17,Ramat Gan,Museum,Suitable for children and families.
18,Attraction 18,Eilat,Water Park,Offers guided tours and events.
19,Attraction 19,Eilat,Family,Suitable for children and families.
20,Attraction 20,Ashdod,Adventure,Includes food stands and rest areas.
21,Attraction 21,Netanya,Amusement Park,Offers guided tours and events.
22,Attraction 22,Beer Sheva,Kids,Open all year round.
23,Attraction 23,Ramat Gan,Amusement Park,Open all year round.
24,Attraction 24,Nazareth,History,Offers guided tours and events.
25,Attraction 25,Jerusalem,History,Open all year round.
26,Attraction 26,Eilat,Nature,Open all year round.
27,Attraction 27,Ashdod,Museum,Includes food stands and rest areas.
28,Attraction 28,Eilat,Zoo,Popular attraction with many activities.
29,Attraction 29,Ramat Gan,Kids,Includes food stands and rest areas.
30,Attraction 30,Holon,Science,Open all year round.
31,Attraction 31,Haifa,Adventure,Open all year round.
32,Attraction 32,Eilat,Science,Includes food stands and rest areas.
33,Attraction 33,Eilat,History,Includes food stands and rest areas.
34,Attraction 34,Netanya,Amusement Park,Offers guided tours and events.
35,Attraction 35,Beer Sheva,History,Suitable for children and families.
36,Attraction 36,Netanya,Zoo,Suitable for children and families.
37,Attraction 37,Nazareth,History,Suitable for children and families.
