report_id,report_reason,report_description,report_date,admin_decision,decision_date,customer_id,review_id
1,Harassment,Automatically generated report description,2024-12-19,Rejected,2025-03-30,85,7877
2,Misleading information,Automatically generated report description,2024-03-30,,,154,5216
3,Irrelevant content,Automatically generated report description,2024-05-07,Approved,2025-01-29,401,11860
4,Offensive language,Automatically generated report description,2024-09-02,,,128,1462
5,Harassment,Automatically generated report description,2025-01-26,Approved,2025-03-10,147,3648
6,Harassment,Automatically generated report description,2024-06-22,,,471,14908
7,Offensive language,Automatically generated report description,2024-01-09,,,455,19818
8,Offensive language,Automatically generated report description,2024-03-03,Rejected,2025-02-20,477,11734
9,Spam,Automatically generated report description,2024-12-22,Approved,2025-03-27,22,17813
10,Misleading information,Automatically generated report description,2024-12-18,,,55,4059
11,Irrelevant content,Automatically generated report description,2024-01-23,,,460,7291
12,Irrelevant content,Automatically generated report description,2024-05-20,,,341,8591
13,Spam,Automatically generated report description,2025-02-27,Rejected,2025-01-08,205,12154
14,Misleading information,Automatically generated report description,2024-11-09,,,69,13442
15,Misleading information,Automatically generated report description,2024-08-13,Rejected,2025-02-12,191,8385
16,Harassment,Automatically generated report description,2024-10-16,,,400,13750
17,Spam,Automatically generated report description,2024-05-25,Rejected,2025-03-05,327,5509
18,Irrelevant content,Automatically generated report description,2024-01-22,Approved,2025-01-12,253,19936
19,Offensive language,Automatically generated report description,2024-09-08,,,416,10038
20,Misleading information,Automatically generated report description,2025-02-04,,,95,17174
21,Irrelevant content,Automatically generated report description,2024-12-07,Approved,2025-01-03,273,16670
22,Offensive language,Automatically generated report description,2024-10-17,,,432,3848
23,Spam,Automatically generated report description,2024-02-06,Rejected,2025-01-14,35,9863
24,Harassment,Automatically generated report description,2024-07-30,,,122,1224
25,Misleading information,Automatically generated report description,2024-11-20,Rejected,2025-02-18,250,5032
26,Irrelevant content,Automatically generated report description,2024-06-26,Approved,2025-03-09,448,11512
27,Harassment,Automatically generated report description,2024-10-02,Approved,2025-03-28,210,9485
28,Spam,Automatically generated report description,2024-02-19,Rejected,2025-02-03,190,9521
29,Irrelevant content,Automatically generated report description,2024-09-22,Approved,2025-03-04,42,18481
30,Offensive language,Automatically generated report description,2024-01-29,Approved,2025-03-19,380,5194
31,Irrelevant content,Automatically generated report description,2024-02-24,,,129,15475
32,Spam,Automatically generated report description,2025-02-26,,,138,6680
33,Offensive language,Automatically generated report description,2024-07-03,Approved,2025-02-02,172,330
34,Offensive language,Automatically generated report description,2024-08-08,Approved,2025-03-15,495,6004
35,Offensive language,Automatically generated report description,2024-03-18,,,130,3962
36,Misleading information,Automatically generated report description,2025-01-05,,,93,7202
37,Misleading information,Automatically generated report description,2024-07-28,Rejected,2025-02-09,461,15800
38,Offensive language,Automatically generated report description,2024-06-17,Rejected,2025-02-27,436,3691
39,Irrelevant content,Automatically generated report description,2024-08-28,Rejected,2025-03-31,298,14751
40,Harassment,Automatically generated report description,2025-01-20,Rejected,2025-03-03,353,12203
41,Irrelevant content,Automatically generated report description,2024-09-22,Approved,2025-01-19,284,11953
42,Offensive language,Automatically generated report description,2024-05-06,Approved,2025-02-20,4,2951
43,Spam,Automatically generated report description,2024-06-26,Approved,2025-03-13,223,833
44,Irrelevant content,Automatically generated report description,2024-03-16,,,220,5345
45,Spam,Automatically generated report description,2024-10-23,,,288,14658
46,Harassment,Automatically generated report description,2024-11-08,Rejected,2025-04-01,330,18326
47,Offensive language,Automatically generated report description,2024-05-26,,,178,14044
48,Spam,Automatically generated report description,2025-01-19,Approved,2025-03-28,423,3801
49,Misleading information,Automatically generated report description,2024-04-09,,,403,6500
50,Offensive language,Automatically generated report description,2024-03-13,,,469,18227
51,Spam,Automatically generated report description,2024-09-01,Rejected,2025-03-17,251,13244
52,Harassment,Automatically generated report description,2024-11-23,Rejected,2025-04-01,189,13097
53,Spam,Automatically generated report description,2024-04-14,,,101,4685
54,Spam,Automatically generated report description,2024-02-03,,,374,13900
55,Harassment,Automatically generated report description,2024-12-07,Approved,2025-01-30,12,7949
56,Irrelevant content,Automatically generated report description,2024-03-19,Rejected,2025-01-21,39,3315
57,Misleading information,Automatically generated report description,2024-07-27,,,37,14762
58,Misleading information,Automatically generated report description,2024-08-10,Rejected,2025-03-22,219,18605
59,Spam,Automatically generated report description,2024-01-11,,,235,12704
60,Offensive language,Automatically generated report description,2024-06-07,Approved,2025-01-28,427,934
61,Misleading information,Automatically generated report description,2024-05-29,,,282,14262
62,Offensive language,Automatically generated report description,2024-02-09,,,243,1471
63,Irrelevant content,Automatically generated report description,2024-03-10,Rejected,2025-02-19,32,4226
64,Misleading information,Automatically generated report description,2024-04-28,,,454,6255
65,Offensive language,Automatically generated report description,2024-04-22,Approved,2025-03-23,154,14825
66,Harassment,Automatically generated report description,2024-04-22,Approved,2025-02-18,380,10803
67,Misleading information,Automatically generated report description,2024-05-29,Rejected,2025-01-04,29,4908
68,Misleading information,Automatically generated report description,2024-04-17,Rejected,2025-02-20,344,4789
69,Misleading information,Automatically generated report description,2024-09-01,Rejected,2025-03-27,329,15685
70,Irrelevant content,Automatically generated report description,2024-05-22,,,190,812
71,Spam,Automatically generated report description,2024-12-05,Rejected,2025-03-05,45,10009
72,Spam,Automatically generated report description,2024-01-19,Approved,2025-01-03,359,890
73,Irrelevant content,Automatically generated report description,2024-05-22,Approved,2025-03-14,278,11365
74,Offensive language,Automatically generated report description,2024-02-26,,,5,14690
75,Harassment,Automatically generated report description,2024-05-22,Rejected,2025-03-29,172,11888
76,Irrelevant content,Automatically generated report description,2025-02-19,,,236,15243
77,Offensive language,Automatically generated report description,2024-04-20,Approved,2025-02-07,334,8474
78,Harassment,Automatically generated report description,2024-12-30,Rejected,2025-02-13,208,5954
79,Spam,Automatically generated report description,2024-11-01,Rejected,2025-02-02,123,18740
80,Offensive language,Automatically generated report description,2024-11-27,,,126,5304
81,Spam,Automatically generated report description,2024-06-08,Approved,2025-02-09,393,3100
82,Misleading information,Automatically generated report description,2024-06-04,Approved,2025-02-14,21,19831
83,Harassment,Automatically generated report description,2024-03-14,Rejected,2025-01-21,208,15316
84,Spam,Automatically generated report description,2024-06-07,Rejected,2025-02-16,468,10739
85,Misleading information,Automatically generated report description,2024-06-22,Rejected,2025-03-11,374,2866
86,Misleading information,Automatically generated report description,2024-05-28,Rejected,2025-02-13,35,2770
87,Harassment,Automatically generated report description,2024-02-16,,,209,2691
88,Spam,Automatically generated report description,2024-06-20,Approved,2025-03-30,54,13629
89,Irrelevant content,Automatically generated report description,2024-01-11,Rejected,2025-03-25,327,13384
90,Misleading information,Automatically generated report description,2024-10-03,,,417,2992
91,Irrelevant content,Automatically generated report description,2024-10-13,,,142,1175
92,Irrelevant content,Automatically generated report description,2024-10-13,Approved,2025-02-03,297,11471
93,Spam,Automatically generated report description,2024-10-12,Approved,2025-03-31,7,18935
94,Spam,Automatically generated report description,2024-12-04,Rejected,2025-03-18,142,12405
95,Irrelevant content,Automatically generated report description,2024-03-31,Rejected,2025-02-22,80,18470
96,Harassment,Automatically generated report description,2024-04-23,Rejected,2025-01-15,271,11363
97,Harassment,Automatically generated report description,2024-12-23,Rejected,2025-02-28,310,19968
98,Harassment,Automatically generated report description,2025-01-25,Rejected,2025-03-06,112,2865
