ticket_id,purchase_date,visit_date,price,ticket_status,customer_id,attraction_id
1,2024-08-04,2024-10-01,200.71,used,236,130
2,2024-04-21,2024-05-21,165.03,cancelled,423,320
3,2024-07-22,2024-08-29,69.11,cancelled,340,495
4,2024-07-10,2024-08-15,330.72,cancelled,145,153
5,2024-02-25,2024-03-27,50.64,used,328,167
6,2024-05-21,2024-06-07,334.94,cancelled,153,97
7,2024-03-17,2024-04-20,387.43,active,413,439
8,2024-07-25,2024-09-06,173.4,active,370,14
9,2024-09-11,2024-09-30,144.52,used,208,199
10,2024-01-19,2024-02-26,359.87,cancelled,418,98
11,2024-06-24,2024-08-10,362.42,cancelled,274,327
12,2024-08-31,2024-10-29,471.52,used,260,154
13,2024-03-28,2024-05-21,335.66,cancelled,93,151
14,2024-02-19,2024-03-21,81.41,used,372,414
15,2024-10-13,2024-12-01,458.06,cancelled,461,172
16,2024-02-15,2024-03-01,190.54,cancelled,447,158
17,2024-08-03,2024-09-23,445.68,used,134,300
18,2024-05-30,2024-06-29,428.58,used,28,444
19,2024-10-25,2024-12-02,473.26,active,242,456
20,2024-04-09,2024-05-12,77.51,cancelled,196,272
21,2024-06-01,2024-06-28,45.95,active,71,103
22,2024-06-24,2024-07-21,493.85,used,74,162
23,2024-04-02,2024-05-22,58.79,used,324,91
24,2024-06-09,2024-07-20,47.85,used,141,108
25,2024-03-27,2024-05-03,386.95,used,403,391
26,2024-02-15,2024-02-24,314.95,cancelled,220,207
27,2024-08-07,2024-09-07,203.99,active,274,103
28,2024-07-10,2024-07-11,448.16,cancelled,98,10
29,2024-01-03,2024-02-13,372.13,active,356,450
30,2024-06-25,2024-07-15,81.89,used,258,302
31,2024-06-05,2024-06-16,51.34,active,153,486
32,2024-05-28,2024-06-27,369.36,cancelled,269,173
33,2024-08-10,2024-10-06,349.65,active,176,462
34,2024-09-07,2024-09-30,380.06,active,486,465
35,2024-07-25,2024-07-27,129.64,cancelled,68,109
36,2024-01-12,2024-02-19,262.22,active,188,365
37,2024-01-20,2024-02-14,440.74,used,395,274
38,2024-01-25,2024-03-04,497.45,cancelled,56,335
39,2024-01-11,2024-01-15,351.08,used,228,195
40,2024-03-04,2024-04-09,141.31,cancelled,79,106
41,2024-01-05,2024-01-25,222.02,active,340,267
42,2024-05-18,2024-06-27,310.7,active,215,426
43,2024-02-23,2024-03-27,365.01,active,145,59
44,2024-02-24,2024-03-27,115.35,active,399,135
45,2024-09-24,2024-10-07,191.8,used,152,83
46,2024-01-21,2024-02-26,258.25,active,353,478
47,2024-09-03,2024-09-25,132.56,active,344,46
48,2024-02-26,2024-04-20,295.59,used,77,487
49,2024-02-16,2024-04-06,265.62,cancelled,371,52
50,2024-05-11,2024-06-22,130.96,used,136,238
51,2024-01-26,2024-02-02,410.33,active,437,149
52,2024-07-03,2024-08-24,344.85,used,379,60
53,2024-02-18,2024-04-13,383.94,active,5,437
54,2024-03-11,2024-04-23,330.66,used,184,458
55,2024-08-12,2024-09-21,148.79,cancelled,48,191
56,2024-06-24,2024-07-06,74.64,used,493,234
57,2024-05-19,2024-07-12,205.14,used,410,216
